# Dit is de header 
#x 	 y 	 z 	 t
-1.57 	 -1.00 	 0.00 	 -16331239353195370.00 
-1.49 	 -1.00 	 0.08 	 -12.71 
-1.41 	 -0.99 	 0.16 	 -6.31 
-1.34 	 -0.97 	 0.23 	 -4.17 
-1.26 	 -0.95 	 0.31 	 -3.08 
-1.18 	 -0.92 	 0.38 	 -2.41 
-1.10 	 -0.89 	 0.45 	 -1.96 
-1.02 	 -0.85 	 0.52 	 -1.63 
-0.94 	 -0.81 	 0.59 	 -1.38 
-0.86 	 -0.76 	 0.65 	 -1.17 
-0.79 	 -0.71 	 0.71 	 -1.00 
-0.71 	 -0.65 	 0.76 	 -0.85 
-0.63 	 -0.59 	 0.81 	 -0.73 
-0.55 	 -0.52 	 0.85 	 -0.61 
-0.47 	 -0.45 	 0.89 	 -0.51 
-0.39 	 -0.38 	 0.92 	 -0.41 
-0.31 	 -0.31 	 0.95 	 -0.32 
-0.24 	 -0.23 	 0.97 	 -0.24 
-0.16 	 -0.16 	 0.99 	 -0.16 
-0.08 	 -0.08 	 1.00 	 -0.08 
0.00 	 0.00 	 1.00 	 0.00 
0.08 	 0.08 	 1.00 	 0.08 
0.16 	 0.16 	 0.99 	 0.16 
0.24 	 0.23 	 0.97 	 0.24 
0.31 	 0.31 	 0.95 	 0.32 
0.39 	 0.38 	 0.92 	 0.41 
0.47 	 0.45 	 0.89 	 0.51 
0.55 	 0.52 	 0.85 	 0.61 
0.63 	 0.59 	 0.81 	 0.73 
0.71 	 0.65 	 0.76 	 0.85 
0.79 	 0.71 	 0.71 	 1.00 
0.86 	 0.76 	 0.65 	 1.17 
0.94 	 0.81 	 0.59 	 1.38 
1.02 	 0.85 	 0.52 	 1.63 
1.10 	 0.89 	 0.45 	 1.96 
1.18 	 0.92 	 0.38 	 2.41 
1.26 	 0.95 	 0.31 	 3.08 
1.34 	 0.97 	 0.23 	 4.17 
1.41 	 0.99 	 0.16 	 6.31 
1.49 	 1.00 	 0.08 	 12.71 
1.57 	 1.00 	 0.00 	 16331239353195370.00 
1.65 	 1.00 	 -0.08 	 -12.71 
1.73 	 0.99 	 -0.16 	 -6.31 
1.81 	 0.97 	 -0.23 	 -4.17 
1.88 	 0.95 	 -0.31 	 -3.08 
1.96 	 0.92 	 -0.38 	 -2.41 
2.04 	 0.89 	 -0.45 	 -1.96 
2.12 	 0.85 	 -0.52 	 -1.63 
2.20 	 0.81 	 -0.59 	 -1.38 
2.28 	 0.76 	 -0.65 	 -1.17 
2.36 	 0.71 	 -0.71 	 -1.00 
2.43 	 0.65 	 -0.76 	 -0.85 
2.51 	 0.59 	 -0.81 	 -0.73 
2.59 	 0.52 	 -0.85 	 -0.61 
2.67 	 0.45 	 -0.89 	 -0.51 
2.75 	 0.38 	 -0.92 	 -0.41 
2.83 	 0.31 	 -0.95 	 -0.32 
2.91 	 0.23 	 -0.97 	 -0.24 
2.98 	 0.16 	 -0.99 	 -0.16 
3.06 	 0.08 	 -1.00 	 -0.08 
3.14 	 0.00 	 -1.00 	 -0.00 
3.22 	 -0.08 	 -1.00 	 0.08 
3.30 	 -0.16 	 -0.99 	 0.16 
3.38 	 -0.23 	 -0.97 	 0.24 
3.46 	 -0.31 	 -0.95 	 0.32 
3.53 	 -0.38 	 -0.92 	 0.41 
3.61 	 -0.45 	 -0.89 	 0.51 
3.69 	 -0.52 	 -0.85 	 0.61 
3.77 	 -0.59 	 -0.81 	 0.73 
3.85 	 -0.65 	 -0.76 	 0.85 
3.93 	 -0.71 	 -0.71 	 1.00 
4.01 	 -0.76 	 -0.65 	 1.17 
4.08 	 -0.81 	 -0.59 	 1.38 
4.16 	 -0.85 	 -0.52 	 1.63 
4.24 	 -0.89 	 -0.45 	 1.96 
4.32 	 -0.92 	 -0.38 	 2.41 
4.40 	 -0.95 	 -0.31 	 3.08 
4.48 	 -0.97 	 -0.23 	 4.17 
4.56 	 -0.99 	 -0.16 	 6.31 
4.63 	 -1.00 	 -0.08 	 12.71 
4.71 	 -1.00 	 -0.00 	 5443746451065123.00 
4.79 	 -1.00 	 0.08 	 -12.71 
4.87 	 -0.99 	 0.16 	 -6.31 
4.95 	 -0.97 	 0.23 	 -4.17 
5.03 	 -0.95 	 0.31 	 -3.08 
5.11 	 -0.92 	 0.38 	 -2.41 
5.18 	 -0.89 	 0.45 	 -1.96 
5.26 	 -0.85 	 0.52 	 -1.63 
5.34 	 -0.81 	 0.59 	 -1.38 
5.42 	 -0.76 	 0.65 	 -1.17 
5.50 	 -0.71 	 0.71 	 -1.00 
5.58 	 -0.65 	 0.76 	 -0.85 
5.65 	 -0.59 	 0.81 	 -0.73 
5.73 	 -0.52 	 0.85 	 -0.61 
5.81 	 -0.45 	 0.89 	 -0.51 
5.89 	 -0.38 	 0.92 	 -0.41 
5.97 	 -0.31 	 0.95 	 -0.32 
6.05 	 -0.23 	 0.97 	 -0.24 
6.13 	 -0.16 	 0.99 	 -0.16 
6.20 	 -0.08 	 1.00 	 -0.08 
6.28 	 -0.00 	 1.00 	 -0.00 
